,0h,1·8h,3·6h,9·1h,10·9h,12·7h,14·5h,16·3h,18·1h,21·8h,29·0h,30·9h,32·7h,36·3h,38·1h,41·7h,43·6h,52·6h,54·4h,56·3h,70·8h,72·6h,74·4h,79·9h,83·5h,87·1h,94·4h,96·2h,98·0h
BV898_16196,63.65996631,105.84156155666666,195.09217049999998,99.01651843,23.78739025,67.471413755,92.16038457,22.68026763,76.185381655,122.1719112,124.43289814666667,106.80668504,113.57261715,47.07156054,155.8082568,189.0964101,92.294542286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3939358
BV898_16199,60.21888705,119.01879756999999,98.95468668000001,48.27055273,67.67001526499999,47.197927445,10.917299594,112.3213254,36.2779092315,68.72170002,69.51537119666666,52.43068330666667,48.336270825,35.3036704,49.798755625,94.54820504,93.385164424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.95529452,0.0
BV898_16200,139.36371,102.50161609166666,111.75849923333332,105.2050508,234.72842250000002,180.2862853,235.2054924,195.4823067,221.35762825,351.2442446,168.77185160000002,227.06956463333336,241.88971245,341.2688139,496.34911825000006,290.917554,228.21509554,255.1190186,97.73976785,178.25820345,0.0,0.0,0.0,0.0,0.0,33.54327476666666,37.03801688,117.7868914,0.0
BV898_16205,8.60269815,82.75533052166666,108.06531009666666,76.73780178,87.09985185,81.093945245,93.83891621,51.84061172,23.01741328,106.9004223,44.32072413666666,65.35935487333333,40.964031725,70.60734081,53.917420345,72.72938849,85.041467532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.93877093333333,0.0,0.0,27.35454222
BV898_16207,213.3469141,131.2665321133333,118.26889125999999,85.40174715,92.54732945,59.73291317,131.08509458,101.521198,47.251034579999995,206.1651001,118.36815813666665,115.60485378666665,53.96962932,35.3036704,157.07191585,130.9128993,206.14690151999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.62030742,64.2473953,0.0
BV898_16209,719.1855654,524.9100513166667,377.56320526666667,607.7138819,82.92338095,123.17476568,137.9511118,144.7217077,136.486491835,106.9004223,263.23718806666665,299.68362783333333,154.7450072,117.6789013,132.17253802,225.4611043,225.41125802000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.332419,0.0,15.87343581,551.4568097,54.70908444
BV898_16217,0.0,9.547418146166667,33.347763719999996,40.84431385,13.376750475,20.2734863105,4.645734843333334,0.0,28.508741175,15.27148889,8.145127726666667,29.07510202,40.964031725,11.76789013,12.449688906999999,21.81881655,20.421579085799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81015371,0.0,0.0
BV898_16218,158.289646,237.69111664666664,100.98356546000001,118.8198221,182.6735101,78.91885371000001,81.96169876,55.08064995,52.6626919235,83.99318892,106.3506345,87.32606116666666,48.336270825,23.53578027,75.96179248,65.45644964,100.28541853000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.16458107,198.0961355,21.27575506
BV898_16220,0.0,57.23992005333333,17.702184913333333,12.3770648,44.972120555000004,61.58738285,34.54898937666667,6.480076465,32.643580819,22.90723334,29.87333481333333,32.72343448666666,35.330673225,47.07156054,39.642391939999996,21.81881655,48.293716996,255.1190186,209.30289825,143.08426075,0.0,0.0,0.0,0.0,96.2417593,0.0,66.13931585,0.0,57.74847802
BV898_16232,309.6971334,189.48074856666668,128.85022750333334,113.8689962,127.77463685,66.383867985,34.18102782333333,42.12049702,24.944552875,15.27148889,167.0507207,108.74236328666666,67.183585255,0.0,19.18936645,14.5458777,3.9901870838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
